,tweet_text,pos_rev,neg_rev,neutral_or_unknown,apple_product,google_product
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",0,1,0,1,0
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",1,0,0,1,0
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,1,0,0,1,0
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,0,1,0,1,0
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",1,0,0,0,1
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,0,0,1,0,0
6,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",1,0,0,0,1
7,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,1,0,0,1,0
8,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,1,0,0,1,0
9,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,1,0,0,0,1
10,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,1,0,0,0,1
11,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",1,0,0,0,1
12,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,1,0,0,0,1
13,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,1,0,0,1,0
14,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",1,0,0,1,0
15,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,0,0,1,0,0
16,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,0,1,0,1,0
17,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",1,0,0,1,0
18,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,1,0,0,1,0
19,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,1,0,0,1,0
20,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",1,0,0,1,0
21,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",1,0,0,0,1
22,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",1,0,0,1,0
23,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,1,0,0,0,1
24,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",1,0,0,1,0
25,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",1,0,0,1,0
26,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",1,0,0,0,1
27,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,1,0,0,1,0
28,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",1,0,0,0,1
29,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),1,0,0,1,0
30,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,1,0,0,1,0
31,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",0,0,1,0,0
32,Anyone at  #sxsw want to sell their old iPad?,0,0,1,0,0
33,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,0,0,1,0,0
34,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",0,0,1,0,0
35,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,1,0,0,1,0
36,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,0,0,1,0,0
37,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,0,1,0,0,1
38,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,0,0,1,0,0
39,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,1,0,0,1,0
40,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",0,0,1,0,0
41,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,0,0,1,0,0
42,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},0,0,1,0,0
43,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},0,0,1,0,0
44,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,1,0,0,1,0
45,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},1,0,0,0,0
46,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},1,0,0,1,0
47,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,0,0,1,0,0
48,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,1,0,0,1,0
49,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,0,0,1,0,0
50,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",0,0,1,0,0
51,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,0,0,1,0,0
52,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",0,0,1,0,0
53,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,0,0,1,0,0
54,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,1,0,0,0,1
55,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",0,0,1,0,0
56,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,1,0,0,1,0
57,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},0,0,1,0,0
58,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},0,0,1,0,0
59,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,0,0,1,0,0
60,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",0,0,1,0,0
61,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,1,0,0,1,0
62,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",0,0,1,1,0
63,Again? RT @mention Line at the Apple store is insane.. #sxsw,0,1,0,0,0
64,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,0,0,1,0,0
65,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,0,0,1,0,0
66,attending @mention iPad design headaches #sxsw {link},0,1,0,1,0
67,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",0,1,0,0,0
68,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},1,0,0,1,0
69,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,0,0,1,0,0
70,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,0,0,1,0,0
71,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",1,0,0,0,1
72,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},0,0,1,0,0
73,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",0,0,1,0,0
74,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,1,0,0,0,1
75,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,1,0,0,1,0
76,I worship @mention {link} #SXSW,0,0,1,0,0
77,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",0,0,1,0,0
78,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",0,0,1,0,0
79,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,1,0,0,1,0
80,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,1,0,0,1,0
81,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,0,0,1,0,0
82,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",1,0,0,1,0
83,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",1,0,0,0,1
84,Stay tune @mention showcase #H4ckers {link} #SXSW,0,0,1,0,0
85,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},0,0,1,0,0
86,Thank you @mention for an awesome #sxsw party! {link},0,0,1,0,0
87,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",0,0,1,0,0
88,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,1,0,0,1,0
89,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,0,0,0,0,0
90,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,0,0,1,0,0
91,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,0,1,0,1,0
92,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,0,0,1,0,0
