,tweet_text,pos_rev,neg_rev,neutral_or_unknown,google_product
0,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",1,0,0,1
1,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",1,0,0,1
2,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,1,0,0,1
3,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,1,0,0,1
4,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",1,0,0,1
5,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,1,0,0,1
6,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",1,0,0,1
7,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,1,0,0,1
8,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",1,0,0,1
9,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",1,0,0,1
10,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,0,1,0,1
11,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,1,0,0,1
12,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",1,0,0,1
13,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,1,0,0,1
14,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",1,0,0,1
15,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",1,0,0,1
16,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",1,0,0,1
17,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",1,0,0,1
18,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",1,0,0,1
19,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",1,0,0,1
20,This is a #WINNING picture #android #google #sxsw {link},1,0,0,1
21,sweet new 3-d google maps demo going on in ballroom D #SXSW,1,0,0,1
22,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,1,0,0,1
23,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",1,0,0,1
24,"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",1,0,0,1
25,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,1,0,0,1
26,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},1,0,0,1
27,Now there are 150 million mobile google maps users @mention #sxsw,1,0,0,1
28,And a few are Android too RT @mention 10 New Mobile Apps IÛªll Be Using atåÊ#SXSW  {link},1,0,0,1
29,"ÛÏ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWÛ",1,0,0,1
30,If ur not at the #google #aclu 80's party....u should be! #sxsw,1,0,0,1
31,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,0,1,0,1
32,Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW,0,1,0,1
33,Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,1,0,0,1
34,Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw,1,0,0,1
35,Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. #google #sxsw #lxh,1,0,0,1
36,We really DO need another big social network right now - thanks! #SXSW #Google {link},1,0,0,1
37,Badgeless event! Free Drinks! ÛÏ@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÌÁo #sxswÛ,1,0,0,1
38,One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},1,0,0,1
39,I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,1,0,0,1
40,"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",1,0,0,1
41,Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link},1,0,0,1
42,Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home,1,0,0,1
43,ÛÏ@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)Û #Google #Circles #social,1,0,0,1
44,Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),1,0,0,1
45,haha. the google &quot;Party like it's 1986&quot; Party {link} #SXSW,0,0,1,1
46,#SXSW the google authenticator app for mobile devices is a step ahead...,1,0,0,1
47,.@mention Google Circles will be the first real alternative to Facebook #sxsw,1,0,0,1
48,ÛÏ@mention Google now lets you block sites you can't stand {link} How about #sxsw blocking that looks like what I need,1,0,0,1
49,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 
It'll never beat myspace.",0,1,0,1
50,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention  bigger than gaga",1,0,0,1
51,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ. Super interesting...",1,0,0,1
52,"Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller",0,0,1,1
53,.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW  | RT @mention,1,0,0,1
54,Future of Google: Contextual discovery. Location + context helps us go deeper than ever. Searches without search @mention #sxsw,1,0,0,1
55,"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",1,0,0,1
56,Loved the honesty in Google's Marissa Mayer keynote: we have too many products and need to step up customer service for locations #sxsw,1,0,0,1
57,I knew if I plied @mention with beer and stogies last night I'd weasel my way into the Team Android party tonight. #success #SXSW.,1,0,0,1
58,I have no idea why this startupbus thing is so addictive: {link} #sxsw Also just added Android app.,1,0,0,1
59,"If you're in a room full of people w/good Wi-Fi at #SXSW run #FrostWire on your Android {link} Share pics, apps, vids w/others",1,0,0,1
60,"If you're in a room full of people w/good Wi-Fi at #SXSW run #FrostWire on your Android {link} share pics, apps, vids w/others",1,0,0,1
61,"google is interested in location based tech for indoor venues - businesses, convention centers etc.  Tech needs to improve first.  #sxsw",0,1,0,1
62,"my sister is throwing the Google sxsw party tonigh Come!! {link} Bands, food, art, ice cream, nifty interactive #sxsw",1,0,0,1
63,I believe it - I almost always use Google Maps on my iPhone RT @mention 40% of Google Maps use is Mobile says @mention #sxsw,1,0,0,1
64,"more that just location, PixieEngine! RT @mention Google says the future is location, location, location: {link} #SXSW #CNN",0,1,0,1
65,"Google to launch a social network, Circles, at #SxSW - {link} - Who's excited?",1,0,0,1
66,Google to Launch Major New Social Network Called Circles  {link} #sxsw (via @mention,1,0,0,1
67,"Google to Launch Major New Social Network Called Circles (Updated) {link} *Not launched at #SXSW, but soon. Should I care?",0,1,0,1
68,"Google to Launch Major New Social Network Called Circles, {link} #sxsw - Brazil's orkut users have been waiting.",1,0,0,1
69,"Google to Launch Major New Social Network Called Circles, Possibly Today (Updated) by @mention {link} #sxsw",1,0,0,1
70,"Google to Launch Major New Social Network Called Circles, Possibly Today {link}",1,0,0,1
71,"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw - this will surely be a threat to FB",1,0,0,1
72,"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #Pakistan #cwc2011",1,0,0,1
73,"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention",0,0,1,1
74,"Google to Launch Major New Social Network Called Circles, Possibly Today @mention #sxsw #sxswi - {link} via @mention",1,0,0,1
75,"Google to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention #sxsw #sxswi",1,0,0,1
76,Google to launch Major New Social Network called Circles: {link} Possibly today #SXSW,1,0,0,1
77,Google to Launch Major New Social Network Called Circles!!!  #google #circles #sxsw {link},1,0,0,1
78,Google to Launch Major New Social Network Called Circles!!! #google #circles #sxsw {link},1,0,0,1
79,Google to Launch Major New Social Network Called Circles.. {link} #sxsw v @mention @mention,1,0,0,1
80,Google to launch new social network at SXSW? - CNET News {link} #sxsw,1,0,0,1
81,"Google to launch new social network Circles, linking u more closely to peeps u connect w/most. possibly today @mention #sxsw!",1,0,0,1
82,"Google to launch product! Wait, no launch, but product exists.  Wait, product does not exist! #sxsw {link}",0,1,0,1
83,"Since I'm listening to Google's Marissa Mayer, but engaging on Twitter I'm wondering what the heck happened to Google Buzz. #SXSW",1,0,0,1
84,I've been looking forward to the google/bing q/a on website ranking all week. #sxsw,1,0,0,1
85,There are lots of other Google efforts helping Japan! and many other global issues. :)  RT @mention RT @mention wtf is up w/people at #sxsw,1,0,0,1
86,"trying to make a detailed, colour coded, google calendar for #SXSW is proving to be really tough. also, when did i get this organized?!",1,0,0,1
87,They made me a #soundcloud ambassador for #sxsw I upload music from shows &amp; they reward me RT @mention This soundcloud android app is fresh,1,0,0,1
88,Alert the media.  I just saw the one and only Android tablet at #sxsw.  Like finding a needle in a haystack!  I also saw a Cr-48.,1,0,0,1
89,How could Murphy USA better serve you inside Google Maps on your phone? -Google is announcing great features in v5 #SXSW,1,0,0,1
90,compiling my #sxsw list in one google doc is taking a lot longer than i thought... so many parties. so many good musicians.,0,1,0,1
91,"Headed to my sole #sxsw event, the ACLU dotRights/Google party",0,0,1,1
92,There are no hard feelings towards Google. @mention says they would make a great partner. #checkins #sxsw #pnid,1,0,0,1
93,"Farooqui: Now about mobile. iOS, with Android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw",1,0,0,1
94,Third era of google logos = an interactive play space. Get ready. #GoogleDoodle #sxsw #gsdm,1,0,0,1
95,Highlight of my day was undoubtedly meeting @mention from Google for 30 seconds after her softball fancrazed preso at #SXSW,1,0,0,1
96,"Wow, lots of the #SXSW audience haven't seen the 3D vector panning in Google Maps for Mobile - gasps of appreciation",1,0,0,1
97,At google party. Best ever! Get your butt over here. #sxsw,1,0,0,1
98,Google is planning to launch a major new Social Network called Circles. Previews so far have been super positive #SXSW {link},1,0,0,1
99,I need to play this game on my #android - #SXSW {link},1,0,0,1
100,.@mention Problem with Google Living Stories was the process of creating content didn't change - was just an interface. #hacknews #SXSW,0,1,0,1
101,Google is reproducing digitally the way you organically consume information. Goggles is the best example of that. #SXSW #MarissaMeyer,1,0,0,1
102,"They were right, the @mention 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",1,0,0,1
103,Congrats! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,0,0,1
104,I like it RT @mention @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky #911tweets panel #SXSW.,1,0,0,1
105,"L.A.M.E.  RT @mention &quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",0,1,0,1
106,google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,1,0,0,1
107,grabbed a seat in ballroom d to hear @mention from Google #SXSW,1,0,0,1
108,Q: Why do social sites like Delicious often have better results than Google or Bing? #qagb #sxsw,0,1,0,1
109,Talked to some great developers at the Android meetup. Looking forward to working with them. #sxsw #android #androidsxsw,1,0,0,1
110,Great new support for web fonts @mention here at #SXSW #google,1,0,0,1
111,Is it bad that I just want to go home and read my Google Reader feed? #geek #sxsw,1,0,0,1
112,Following the Google/Bing QA session at #SXSW.  Great insights for webmasters #qagb,1,0,0,1
113,PdaNet is the most awesome app yet for the android! #sxsw @mention likes!,1,0,0,1
114,Exploring the World in 3D with XML combines Google Earth w/ location of individuals to show where you've been over time. So cool! #SxSW,1,0,0,1
115,Among the things I am missing at #sxsw: the Google-ACLU 80's dance party.,1,0,0,1
116,"Check out this new #android app #bizzy, we're using it to check out #sxsw {link}",1,0,0,1
117,There are thousands of iPad 2's floating around Austin at #sxsw and I have not seen even one single Android tablet.  Not even one. Zero.,1,0,0,1
118,Listening to google q&amp;a. With what she is saying I see yelp and other services going to die... #sxsw so far interesting,1,0,0,1
119,Listening to google's Marissa Mayer discuss new products including google hotpot - watch out yelp!  #SXSW,1,0,0,1
120,"So we get to see google fail at social on another day RT @mention Okay, no Google Circles debuting at #sxsw today",0,1,0,1
121,Google vp to speak. The topic: 10 quick steps to owning everything in the world. #sxsw {link},0,0,1,1
122,"Listening to TWiT live @mention #sxsw. Also went to boxee keg party, google robots event, saw tim ferris speak, checked out ebay hackathon!",1,0,0,1
123,#futuremf Trajan: Google has destroyed the &lt;title&gt; tag - websites SEO them. Open Graph Protocol added a clean title tag instead #sxsw,0,1,0,1
124,Dense una vuelta por #socialfuel #sxsw para ver la gran diferencia..RT @mention &quot;The revolution will be clumsily translated by Google.&quot;,0,1,0,1
125,Wishing I was at #sxsw to see the rumored demo of @mention new social network 'Circles' {link} (via @mention,1,0,0,1
126,ÛÏ@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesÛ,1,0,0,1
127,ÛÏ@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesÛ sounds interesting,1,0,0,1
128,"Impressed with @mention from #Google. Articulate, relevant &amp; fun. #SXSW @mention Austin Convention Center {link}",1,0,0,1
129,"Ouch! Who won Google v Bing? @mention with all the respect, the Bing guy was invited just because they had to fill the third chair?#sxsw",1,0,0,1
130,ÛÏ@mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxswÛ,1,0,0,1
131,"Just when you thought &quot;social&quot; couldn't get more overblown at #sxsw, Google may be announcing &quot;Circles&quot; today: {link}",0,1,0,1
132,#Awesome - Google Maps 5.22 at #SXSW.  Great Job #Google.,1,0,0,1
133,"This -&gt; RT @mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSW",1,0,0,1
134,Find &amp; Start Impromptu Parties at #SXSW With @mention {link} I can't wait til the Android app comes out.,1,0,0,1
135,"Sweet! RT: @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",1,0,0,1
136,"Big night: Come party down with @mention and Google tonight at #sxsw: {link} Bands, food, art, interactive maps! cc: @mention",1,0,0,1
137,Good info! RT @mention How to improve website rankings: Advice from Google &amp; Bing at #SXSW {link},1,0,0,1
138,So true!!! RT @mention 'Google lost its way by caring too much for the business vs. the users' - @mention #psych #sxsw,0,1,0,1
139,Congrats!!! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,0,0,1
140,[Just FYI...] BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,1,0,0,1
141,"At Google's scale, tiny changes (even in colors of blue) can be meaningful. There's an optimum shade of blue for links. #sxsw @mention",1,0,0,1
142,@mention {link} you get the #sxsw app yet? Android version has the schedule.,1,0,0,1
143,"@mention @mention @mention &quot;@mention Google to Launch Major New Social Network: Circles, Possibly Today {link}  #sxsw&quot;",1,0,0,1
144,Woot! RT @mention First Android @mention disc {link} ... Market version coming soon! #SXSW,1,0,0,1
145,Score! RT@mention Google handing out free pi for pi day! #SXSW #win,1,0,0,1
146,"Whoa. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",1,0,0,1
147,"@mention @mention Similarily, Tweetcaster for Android lets you zip tweets w annoying hash tags, like #sxsw",0,0,1,1
148,Nice! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,0,0,1
149,"Ideally, &quot;Google logos bring people together socially.&quot; @mention (creative lead for the google doodle team) #gsdm #googledoodle #sxsw",1,0,0,1
150,"@mention &quot;I've worked at Google for over 11 years, so I've seen a lot of evil.&quot; #qagb #sxsw",0,1,0,1
151,#SXSW Tip#2 Use your smartphone's Google Maps App when you land in Austin to find the next $1 bus downtown. :) {link},1,0,0,1
