,tweet_text,pos_rev,neg_rev,neutral_or_unknown,apple_product,google_product
0,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,0,0,1,0,0
1,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,0,0,1,0,0
2,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",0,0,1,0,0
3,Anyone at  #sxsw want to sell their old iPad?,0,0,1,0,0
4,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,0,0,1,0,0
5,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",0,0,1,0,0
6,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,0,0,1,0,0
7,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,0,0,1,0,0
8,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",0,0,1,0,0
9,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,0,0,1,0,0
10,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},0,0,1,0,0
11,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},0,0,1,0,0
12,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},1,0,0,0,0
13,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,0,0,1,0,0
14,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,0,0,1,0,0
15,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",0,0,1,0,0
16,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,0,0,1,0,0
17,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",0,0,1,0,0
18,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,0,0,1,0,0
19,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",0,0,1,0,0
20,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},0,0,1,0,0
21,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},0,0,1,0,0
22,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,0,0,1,0,0
23,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",0,0,1,0,0
24,Again? RT @mention Line at the Apple store is insane.. #sxsw,0,1,0,0,0
25,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,0,0,1,0,0
26,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,0,0,1,0,0
27,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",0,1,0,0,0
28,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,0,0,1,0,0
29,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,0,0,1,0,0
30,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},0,0,1,0,0
31,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",0,0,1,0,0
32,I worship @mention {link} #SXSW,0,0,1,0,0
33,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",0,0,1,0,0
34,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",0,0,1,0,0
35,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,0,0,1,0,0
36,Stay tune @mention showcase #H4ckers {link} #SXSW,0,0,1,0,0
37,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},0,0,1,0,0
38,Thank you @mention for an awesome #sxsw party! {link},0,0,1,0,0
39,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",0,0,1,0,0
40,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,0,0,0,0,0
41,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,0,0,1,0,0
42,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,0,0,1,0,0
43,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,0,0,1,0,0
44,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",0,0,1,0,0
45,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,0,0,1,0,0
46,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",0,0,1,0,0
47,ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,0,0,0,0,0
48,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,0,1,0,0,0
49,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",0,0,1,0,0
50,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",0,0,1,0,0
51,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},0,0,1,0,0
52,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,0,0,1,0,0
53,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},1,0,0,0,0
54,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",0,0,1,0,0
55,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",0,0,1,0,0
56,"At #SXSW, #Apple schools the marketing experts {link}",0,0,1,0,0
57,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",0,0,1,0,0
58,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,0,0,1,0,0
59,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,0,0,1,0,0
60,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",0,0,1,0,0
61,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",0,0,1,0,0
62,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,1,0,0,0,0
63,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,0,0,1,0,0
64,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",0,0,1,0,0
65,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",0,0,1,0,0
66,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,0,0,1,0,0
67,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,0,0,1,0,0
68,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,0,0,1,0,0
69,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},0,0,1,0,0
70,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,0,0,1,0,0
71,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,0,0,1,0,0
72,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,0,0,1,0,0
73,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,0,0,1,0,0
74,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,0,0,1,0,0
75,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,0,0,1,0,0
76,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,0,0,1,0,0
77,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,0,0,1,0,0
78,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,1,0,0,0,0
79,"More free #SXSW mp3 downloads, this time from iTunes: {link}",0,0,1,0,0
80,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,0,0,1,0,0
81,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,0,0,1,0,0
82,Essential #sxsw tools: {link},0,0,1,0,0
83,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",0,0,1,0,0
84,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,0,0,1,0,0
85,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),0,0,1,0,0
86,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,0,0,1,0,0
87,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},0,0,1,0,0
88,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,0,0,1,0,0
89,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,0,0,1,0,0
90,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},0,0,1,0,0
91,#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},0,0,1,0,0
92,.@mention 1154 free songs from #SXSW (this year alone!) {link},0,0,1,0,0
93,more than 150 million mobile users for Google Maps for Mobile #SXSW,0,0,1,0,0
94,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,0,0,1,0,0
95,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",0,0,1,0,0
96,÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,0,0,1,0,0
97,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,0,0,1,0,0
98,(The iPad 2 queue at #sxsw of course,0,0,1,0,0
99,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,0,0,1,0,0
