,tweet_text,pos_rev,polarity,review_len,word_count
0,iphone hr tweet rise_austin dead need upgrade plugin station sxsw,0,-0.2,65,10
1,jessedee know fludapp awesome ipad/iphone app likely appreciate design also they're give free sxsw,1,0.4666666666666666,98,14
2,swonderlin wait ipad also sale sxsw,1,0.0,35,6
3,sxsw hope year's festival crashy year's iphone app sxsw,0,0.0,55,9
4,beautifully smart simple idea rt madebymany thenextweb write hollergram ipad app sxsw http://bit.ly/ieavob,1,0.10714285714285714,106,13
5,count day sxsw plus strong canadian dollar mean stock apple gear,1,0.060416666666666646,64,11
6,great sxsw ipad app madebymany,1,0.8,30,5
7,haha awesomely rad ipad app madebymany http://bit.ly/htdfim hollergram sxsw,1,0.6,75,9
8,noticed dst come weekend many iphone user hour late sxsw come sunday morning sxsw iphone,0,0.1,88,15
9,add sxsw flight planely match people planes/airports also download klm iphone app nicely do,1,0.6,91,14
10,must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram,1,0.5,74,13
11,need buy i'm austin sxsw sure i'll need austin apple store,1,0.5,58,11
12,oh god sxsw app ipad pure unadulterated awesome easy browse event ipad website,1,0.5119047619047619,78,13
13,photo instal sxsw iphone app really nice,1,0.6,40,7
14,rt laurieshook i'm look forward smcdallas pre sxsw party wed hop i'll win ipad result shameless promotion chevysmc,1,0.8,114,18
15,rt haha awesomely rad ipad app madebymany http://bit.ly/htdfim hollergram sxsw via michaelpiliero,1,0.6,97,12
16,new look like go rock update iphone android push tonight http://bit.ly/etsbzk sxsw keepaustinweird,1,0.13636363636363635,98,13
17,smart madebymany hollergram ipad app sxsw may leave vuvuzela home,1,0.21428571428571427,65,10
18,must app ipad go sxsw hollergram,1,0.0,32,6
19,best rt mention ha first line sxsw quot;pop-up&quot apple store event planner eventprofs pcma,1,0.625,93,14
20,mention great weather greet sxsw still need sweater night..apple put quot;flash store&quot downtown sell,1,0.8,104,14
21,û÷#smartcoverûª open instant access wait get one link apple sxsw,1,0.0,66,10
22,hooray rt ûï@mention apple open pop-up store austin sxsw mention link,1,0.0,70,11
23,wooooo ûï@mention apple store downtown austin open til midnight sxswû,1,0.0,72,10
24,link rt mention stop sxsw chaos amp mention hunt austin java get spy game chance win ipad,1,0.2,89,17
25,omfg rt mention hear apple's pop-up store downtown austin pic already gowalla link sxsw,1,0.0,87,14
26,smile rt mention think apple's quot;pop-up store&quot austin would lot interest actually know popped sxsw,0,0.15,105,15
27,attend mention ipad design headache sxsw link,0,0.0,45,7
28,check mention mention amp mention line ipad austin power sxswi sxsw link,1,0.0,72,12
29,love mention iphone case sxsw can't get phone fail,1,0.0,50,9
30,new post mention iphone app make easy connect social network people meet link sxsw,1,0.201010101010101,82,14
31,nice mention iphone app behave today crash yesterday ridiculous sxsw,1,0.13333333333333333,68,10
32,nice rt mention hey apple fan get peek space that's slat pop-up sxsw apple store tomorrow link,1,0.6,94,17
33,thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,1,0.16818181818181818,79,13
34,mention sxsw provide iphone charger i've change mind go next year,0,0.0,65,11
35,xmas rt mention shiny new mention mention mention apps new garyvee book pop-up ipad store sxsw christmas nerd,1,0.13636363636363635,109,18
36,yai rt mention new ubersocial iphone app store include uberguide sxsw sponsor cont link,1,0.13636363636363635,87,14
37,headline quot;#ipad must-have gadget sxsw&quot hmm could see one come link gadget,1,0.0,81,12
38,kawasaki quot;not c.s lewis level reason apple's continue existence evidence existence god&quot bawl sxsw,1,0.0,105,14
39,kawasaki quot;pagemaker save apple.&quot oh day sxsw jwtatl enchantment via mention,1,0.0,83,11
40,sxsw apple ipad great thought japan apac region deal earthquake amp tsunami trauma sxswi,1,0.8,88,14
41,sxsw apple school marketing expert link,1,0.0,39,6
42,temporary apple store def tent powerhouse gym sxsw link,1,0.0,55,9
43,temporary apple store congress sxsw along happy hipster,1,0.8,55,8
44,ûï@mention apple win sxsw link open temporary store downtown austin support launch good,1,0.5,88,13
45,ipad austin trend today fun sxsw nerdy nerd,1,0.3,43,8
46,christian ipad iphone devs want talk sxsw maybe wk together cool app mention,1,0.175,76,13
47,apple take sxsw austin storm link mention excite part mobile,1,0.0,60,10
48,haz ifrom sxsw link,1,0.0,19,4
49,stack wait buy sxsw get mine hassle apple handle perfectly link,1,1.0,63,11
50,take sxsw rt mention major south korean director get make movie entirely iphone link,1,0.03125,84,14
51,beautiful sxsw mention apple store sxsw pic link,1,0.85,48,8
52,must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,1,0.5,76,14
53,temporary sxsw apple store apple sneaky usual link,1,-0.25,50,8
54,ûï@mention sxsw beta test interactive book ipad app moonbot studio louisiana cool app.û,1,0.35,90,13
55,apple sxsw day one seeing ton,1,0.0,29,6
56,ûï@mention sxsw ipad store sell everything except wifi whiteû mention manage get,1,0.0,83,12
57,ûï@mention sxsw ipad store sell everything except wifi whiteû also know white jean configuration,1,0.0,99,14
58,offer sxsw ipad promo ninjafinder user fan sxsw suck sxsw,1,0.0,57,10
59,poursite sxsw learn life-changing impact ipad real people's actual live bravo,1,0.11212121212121212,77,11
60,apple sxsw store still ipad short line,1,0.0,38,7
61,anyone sxsw want make quick hundred dollar new ad hoc apple store get hundred plus cost,1,0.23484848484848483,87,16
62,seriously sxsw test mobile apps constant ipad crash cause lose schedule sync,0,-0.16666666666666666,76,12
63,ready sxsw iphone apps make ur blogging easy link sxsw sxswi,1,0.31666666666666665,60,11
64,sxsw...a conflagration doofusness link,0,0.0,38,4
65,attention sxsw'ers link rumor pop-up temporary apple store sxsw ipad launch need,1,0.0,80,12
66,go sxswi lousy ipad sxsw link,1,-0.5,29,6
67,"spent come sxsw 

you've already use ipad 

the wait couple city block 

why sxsw link",0,-0.1,86,15
68,behind email give line iphone compose reply sxsw protip,1,-0.4,55,9
69,like night line around block popup apple store sell sxsw,1,0.0,56,10
70,i'm ipad see wild people say fast still pic terrible sxsw,0,-0.2333333333333333,57,11
71,ipad take sxsw video mention link,1,0.0,33,6
72,many ipad snap away keynote slide sxsw,1,0.5,38,7
73,new post iphone apps we'll use south southwest interactive link sxsw sxswi,1,0.13636363636363635,74,12
74,sxsw day apple store there's still line...and grow link,1,0.0,55,9
75,iphone need car'-use zimride etc share rid sxsw shareable,1,0.0,57,9
76,pick mophie battery case iphone prep sxsw lug around laptop amp use phone huge win last year,1,0.4000000000000001,92,17
77,hobo shotgun video game come ipad/iphone user yes please link sxsw,1,-0.4,66,11
78,build store less hour one big launch company's history get apple sxsw,1,-0.08333333333333333,69,12
79,read groupme sxsw...sounds like incredible app available android phone yet,1,0.65,74,10
80,iphone alarm botch timechange many sxsw'ers freak late flight miss panel behind bloody mary,0,-0.25,91,14
81,shouts lady hold ipad free sxsw show take photo sip free beer cc mention,1,0.4,72,14
82,meant also wish sxsw dyac stupid iphone,0,-0.7999999999999999,39,7
83,rumor apple store open sxsw amp congress sign point yes link,1,0.0,60,11
84,pick ipad sxsw pop apple store minute wait,1,0.0,42,8
85,marketing sale genius link apple sxsw,1,0.0,37,6
86,need sxsw ipad iphone laptop dictaphone vid.camera wow love meet real cerebellum charge people,1,0.26666666666666666,94,14
87,sxsw app iphone ridiculous personal planner next day,1,-0.1111111111111111,52,8
88,find app kyping iphone's geolocation amp release background need patch mention batterykiller sxsw,0,0.0,97,13
89,sxsw app iphone live rsvp event phone amp check sundayswagger.eventbrite.com scoremore,1,0.13636363636363635,86,11
90,sxsw apple quot;pop-up&quot store nut still pack link,0,0.0,53,8
91,course apple build temp store austin texas understand concept corral cattle sxsw,0,0.0,80,12
92,love apple let something like retail store near sxsw keep away open pop-up store link,1,0.19999999999999998,85,15
93,surprise apple open pop-up store austin nerd town sxsw get new link cnet,1,0.06818181818181818,72,13
94,surprise apple open pop-up store austin nerd town sxsw get new ipads link cnet,1,0.06818181818181818,78,14
95,surprise apple open pop-up store austin nerd town sxsw get new ipads link,1,0.06818181818181818,73,13
96,ûï@mention apple great example retail store layed future register checkout line sxsw,1,0.4,85,12
97,ûï@mention apple open temporary store downtown austin sxsw ipad launch link gswsxsw,1,0.0,84,12
